eval/step,eval/avg_score
2022400.0,0.03478871864864865
4019200.0,0.046892671722238294
6016000.0,0.05534600181039423
8012800.0,0.06541723541724564
10009600.0,0.0709272152789727
12006400.0,0.076814627703396
14003200.0,0.0822695772283097
16000000.0,0.07593895815998623
18022400.0,0.0791521405482307
20019200.0,0.0805560014045962
22016000.0,0.09201161941288147
24012800.0,0.08873737474685477
26009600.0,0.08064223620494138
28006400.0,0.07883265423976367
30003200.0,0.08508588312614233
32000000.0,0.0867749474109682
34022400.0,0.09532316361627459
36019200.0,0.09583682864290796
38016000.0,0.08948202516662467
40012800.0,0.09382549341676111
42009600.0,0.10639764612352742
44006400.0,0.10515023998218326
46003200.0,0.10313827131909199
48000000.0,0.1031579822881655
50022400.0,0.10264604166998953
52019200.0,0.09223940281068126
54016000.0,0.10435674042786197
56012800.0,0.10262528181619947
58009600.0,0.09780941565319073
60006400.0,0.11833460336001687
62003200.0,0.12221120427524629
64000000.0,0.10143621722638212
66022400.0,0.11982877081216152
68019200.0,0.12482757910677479
70016000.0,0.12029983569261367
72012800.0,0.12204147552954414
74009600.0,0.13288916725616282
76006400.0,0.11785109478178189
78003200.0,0.12075034775779059
80000000.0,0.12496725866793405
82022400.0,0.11524506365564041
84019200.0,0.1055158657997405
86016000.0,0.13141235218899344
88012800.0,0.14293800252348374
90009600.0,0.13104394437747613
92006400.0,0.13355173983035207
94003200.0,0.12855046634499434
96000000.0,0.11697461251310899
98022400.0,0.12082719982726023
100019200.0,0.13705291316432436
