eval/step,eval/avg_score
0.0,0.26897598938558853
2000000.0,0.20962986819131035
4000000.0,0.22623012107584536
6000000.0,0.24959532637689882
8000000.0,0.2820538794097974
10000000.0,0.31180844800592505
12000000.0,0.29806986760465726
14000000.0,0.32125064379212104
16000000.0,0.3468226134228876
18000000.0,0.3604847870695157
20000000.0,0.3468608894064103
22000000.0,0.347094230520367
24000000.0,0.36005935275342593
26000000.0,0.37281516663942244
28000000.0,0.3682584719369752
30000000.0,0.3712099638259679
32000000.0,0.38766568267383505
34000000.0,0.39457524136185623
36000000.0,0.39116788837071703
38000000.0,0.404176298204402
40000000.0,0.4064743294658408
42000000.0,0.4003669424432383
44000000.0,0.403243654604638
46000000.0,0.40986137803098077
48000000.0,0.414887193555669
50000000.0,0.42498496365882127
52000000.0,0.4124092317591442
54000000.0,0.422041275995898
56000000.0,0.4252697576539163
58000000.0,0.40648690963161016
60000000.0,0.41497590837561005
62000000.0,0.42643938894202094
64000000.0,0.4307574833857275
66000000.0,0.43762532275089455
68000000.0,0.4329442689508305
70000000.0,0.43267230958983605
72000000.0,0.4326334275497502
74000000.0,0.44254524443226706
76000000.0,0.42253689264024025
78000000.0,0.4413631986670461
80000000.0,0.4372331422471516
82000000.0,0.44641786326603694
84000000.0,0.43954173451890893
86000000.0,0.43168213190802635
88000000.0,0.4381832691279078
90000000.0,0.4359963044048709
92000000.0,0.4214065584730859
94000000.0,0.44978265965501124
96000000.0,0.43734318244879306
98000000.0,0.4379783782048908
100000000.0,0.4378576328375057
